control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed
shuffle,id,shuffled,window_mean,roll_imu,10,1.0,-3.483473550449191,-3.4771735627874953,-0.0014071350090285595,0.02,True
shuffle,id,shuffled,window_mean,roll_imu,20,2.0,-0.2643855767726966,-0.26289967732381814,-0.0011765775821774849,0.02,True
shuffle,id,shuffled,window_mean,roll_imu,30,3.0,0.3707406834499928,0.3701136093429417,0.0009955352526301864,0.02,True
shuffle,id,shuffled,window_mean,roll_imu,50,5.0,0.711093858559629,0.709845057022098,0.004303912677531607,0.02,True
shuffle,id,shuffled,window_mean,roll_imu,100,10.0,0.18774402395698686,0.1846704759403497,0.0037697003799561646,0.02,True
shuffle,id,shuffled,window_mean,roll_imu,150,15.0,0.38876579620053375,0.38815945456871104,0.0009910125053829155,0.02,True
shuffle,id,shuffled,window_mean,pitch_imu,10,1.0,-1.1211413910043566,-1.1224567963738061,0.0006197560165638327,0.02,True
shuffle,id,shuffled,window_mean,pitch_imu,20,2.0,0.3388444670662839,0.3372619520833131,0.0023878438667365165,0.02,True
shuffle,id,shuffled,window_mean,pitch_imu,30,3.0,0.6109024721588763,0.6097555026369217,0.0029391049193641106,0.02,True
shuffle,id,shuffled,window_mean,pitch_imu,50,5.0,0.6904363974967971,0.6900921544037586,0.0011107917980462956,0.02,True
shuffle,id,shuffled,window_mean,pitch_imu,100,10.0,0.3661569866008315,0.36563812149505726,0.000817932355893003,0.02,True
shuffle,id,shuffled,window_mean,pitch_imu,150,15.0,0.5024520450549343,0.5024008300847815,0.00010292414708312769,0.02,True
shuffle,id,shuffled,window_mean,heave_imu,10,1.0,-2.2977157780220585,-2.3075812417468393,0.0029826822090606164,0.02,True
shuffle,id,shuffled,window_mean,heave_imu,20,2.0,0.030967934929637453,0.02760080241637408,0.0034627059767537993,0.02,True
shuffle,id,shuffled,window_mean,heave_imu,30,3.0,0.47973199005807143,0.47884216639980814,0.0017073976459613949,0.02,True
shuffle,id,shuffled,window_mean,heave_imu,50,5.0,0.698890888954026,0.6993947600783856,-0.0016761887600198477,0.02,True
shuffle,id,shuffled,window_mean,heave_imu,100,10.0,0.2153236350044465,0.21534014112395128,-2.1036018751363628e-05,0.02,True
shuffle,id,shuffled,window_mean,heave_imu,150,15.0,0.4959626690860123,0.4959722920711881,-1.9092174942780815e-05,0.02,True
shuffle,id,shuffled,window_mean,roll_rate_imu,10,1.0,-3.1987552794871066,-3.2127010332577814,0.0033104067107012636,0.02,True
shuffle,id,shuffled,window_mean,roll_rate_imu,20,2.0,-0.18741014314452142,-0.19147454906357142,0.0034112402335780834,0.02,True
shuffle,id,shuffled,window_mean,roll_rate_imu,30,3.0,0.40235218461952393,0.40149645085953134,0.0014297889481550419,0.02,True
shuffle,id,shuffled,window_mean,roll_rate_imu,50,5.0,0.7156210710174553,0.7163260527636297,-0.0024851832642458493,0.02,True
shuffle,id,shuffled,window_mean,roll_rate_imu,100,10.0,0.10214262857143419,0.10384406897851106,-0.0018985986123392085,0.02,True
shuffle,id,shuffled,window_mean,roll_rate_imu,150,15.0,0.43593009044343944,0.4356945072688687,0.00041747453747176255,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate_imu,10,1.0,-0.6427165044301251,-0.6485335080844565,0.003528592913522699,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate_imu,20,2.0,0.4639369326250675,0.46322071728172864,0.001334282760899308,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate_imu,30,3.0,0.6618560629316473,0.6615107269840316,0.0010202271538438668,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate_imu,50,5.0,0.6572328959949613,0.6563173156906499,0.0026640280296672536,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate_imu,100,10.0,0.46180534145850716,0.4610794272052481,0.0013469781817654347,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate_imu,150,15.0,0.4958222768499191,0.49567218083165043,0.0002976159802490219,0.02,True
shuffle,id,shuffled,window_mean,heave_rate_imu,10,1.0,-1.7559831455037638,-1.7627193429496515,0.0024382489169876287,0.02,True
shuffle,id,shuffled,window_mean,heave_rate_imu,20,2.0,0.1751652583069161,0.17528626461006247,-0.00014672521864711463,0.02,True
shuffle,id,shuffled,window_mean,heave_rate_imu,30,3.0,0.5452638832037184,0.5460050101123619,-0.0016324561397185189,0.02,True
shuffle,id,shuffled,window_mean,heave_rate_imu,50,5.0,0.7117582887237334,0.7106310316978829,0.00389556984103967,0.02,True
shuffle,id,shuffled,window_mean,heave_rate_imu,100,10.0,0.1440782831645211,0.14141900076700498,0.0030972993810621796,0.02,True
shuffle,id,shuffled,window_mean,heave_rate_imu,150,15.0,0.5427163706998173,0.5425479608715331,0.0003681475081082075,0.02,True
untrained,id,untrained,persistence,roll_imu,10,1.0,-3.7900937554262883,0.0,-3.7900937554262883,0.0,True
untrained,id,untrained,persistence,roll_imu,20,2.0,-0.11177846790978263,0.0,-0.11177846790978263,0.0,True
