model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,regime
damped_persistence,heave_rate,20,2.0,434304,0.4628728465488788,0.30929412163086617,0.5351982235990471,0.2520129437067815,384,0.23290606173717063,0.27220890299987993,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave_rate,30,3.0,434304,0.49514860399630534,0.3292575061437878,0.7216245802205107,0.5291869607879671,384,0.5176464569897486,0.540859767780233,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave_rate,50,5.0,434304,0.46448826140142097,0.3071032677607912,0.8524864976952896,0.7031244252447577,384,0.6992401521002072,0.7068917585581058,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave_rate,100,10.0,434304,0.4423556330336838,0.2952499621841984,0.47861232963563727,0.14576893824628123,384,0.0915224062546186,0.19829678114939137,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave_rate,150,15.0,434304,0.46157012814064957,0.30492359061406815,0.6814233587032514,0.541181040951902,384,0.5215453400595115,0.5586702301811859,0,True,6,0.14750845600065077,,,,id
ar10,roll,10,1.0,434304,0.009120446806217389,0.006421642153421799,1.9446628367671026,0.999978004005625,384,0.9999735132191684,0.9999813118805728,0,True,54900,0.018464961998688523,,,,id
ar10,roll,20,2.0,434304,0.06959797996178631,0.04937849330697695,3.7444545258092843,0.9996545253799077,384,0.9995871660099223,0.9997034387310852,0,True,54900,0.018464961998688523,,,,id
ar10,roll,30,3.0,434304,0.21962443932914677,0.15672920666733278,5.26736094690192,0.998261498088042,384,0.9979384957704354,0.9984906863213233,0,True,54900,0.018464961998688523,,,,id
ar10,roll,50,5.0,434304,0.6694722210982388,0.46983961779534794,7.0875605548865055,0.9910778081482068,384,0.9895240618410605,0.9921539167591052,0,True,54900,0.018464961998688523,,,,id
ar10,roll,100,10.0,434304,1.113499779914776,0.7777470035063709,3.793711335438843,0.9138507091940516,384,0.9003035321814109,0.9236595511718566,0,True,54900,0.018464961998688523,,,,id
ar10,roll,150,15.0,434304,1.7003399260205736,1.133545574640254,5.251935256462554,0.8951827459541299,384,0.8837052318071567,0.9045707096570518,0,True,54900,0.018464961998688523,,,,id
ar10,pitch,10,1.0,434304,0.011178963014007252,0.00724583682944284,0.8963189522817477,0.9998444471833036,384,0.9998214205392233,0.9998646831867257,0,True,54900,0.018464961998688523,,,,id
ar10,pitch,20,2.0,434304,0.10929960238700816,0.07253866277572349,1.6396866224861668,0.9955565995239899,384,0.9949433411706906,0.9960877831009681,0,True,54900,0.018464961998688523,,,,id
ar10,pitch,30,3.0,434304,0.3387243803939838,0.23077994304538818,2.1223575061775537,0.9745284231817983,384,0.9715699719673416,0.9771655422776951,0,True,54900,0.018464961998688523,,,,id
ar10,pitch,50,5.0,434304,0.6481806630440202,0.4450582551087447,2.2343246831224586,0.9158411921520213,384,0.907103570414704,0.923191807544571,0,True,54900,0.018464961998688523,,,,id
ar10,pitch,100,10.0,434304,1.063456892535823,0.7064846554539467,1.5591545468409598,0.5347767085021986,384,0.5208802311394212,0.5481918520034814,0,True,54900,0.018464961998688523,,,,id
ar10,pitch,150,15.0,434304,1.2288731778902364,0.7970266161938538,1.785131912400982,0.5261144101737325,384,0.5050418156945087,0.5443248992289436,0,True,54900,0.018464961998688523,,,,id
ar10,heave,10,1.0,434304,0.002676685378200146,0.0018734163702948633,0.44174333995484594,0.999963284061639,384,0.9999587683924072,0.9999671590347755,0,True,54900,0.018464961998688523,,,,id
ar10,heave,20,2.0,434304,0.022389886164820353,0.015623646985183176,0.8382135080550518,0.9992864992065709,384,0.9991992346837778,0.9993624538381386,0,True,54900,0.018464961998688523,,,,id
ar10,heave,30,3.0,434304,0.07608898186857198,0.05297033006347123,1.1513183823181896,0.9956323013325049,384,0.9951080704986369,0.9960885829982777,0,True,54900,0.018464961998688523,,,,id
ar10,heave,50,5.0,434304,0.25892802443013196,0.17699156186065224,1.4421558821616272,0.9677645524543634,384,0.9646241279827062,0.9708248560695976,0,True,54900,0.018464961998688523,,,,id
ar10,heave,100,10.0,434304,0.4960926247024427,0.3367042872926422,0.8335183990732865,0.6457619901480781,384,0.6117126057352389,0.6753798993677383,0,True,54900,0.018464961998688523,,,,id
ar10,heave,150,15.0,434304,0.6506137257702622,0.4415893124846968,1.106452908012778,0.6542353634320726,384,0.6284351564986158,0.677182225428084,0,True,54900,0.018464961998688523,,,,id
ar10,roll_rate,10,1.0,434304,0.026002950391092912,0.0183268133327642,1.067513758350997,0.9994066672879666,384,0.999291680405163,0.99948988595225,0,True,54900,0.018464961998688523,,,,id
ar10,roll_rate,20,2.0,434304,0.10374370091753735,0.07385440316740163,2.0483978110523133,0.9974349557152771,384,0.9969800870161944,0.9977620870558616,0,True,54900,0.018464961998688523,,,,id
ar10,roll_rate,30,3.0,434304,0.20221700665111197,0.14416063845274266,2.8659956780901075,0.9950216629955019,384,0.9942017913932811,0.9956031817064289,0,True,54900,0.018464961998688523,,,,id
ar10,roll_rate,50,5.0,434304,0.29618921354868905,0.20554661080342818,3.798345550151574,0.9939193566144712,384,0.9929653724683545,0.9946298830014353,0,True,54900,0.018464961998688523,,,,id
ar10,roll_rate,100,10.0,434304,0.7201442330975312,0.49661600024689057,1.958738621708589,0.8648282298724315,384,0.8469435797919385,0.8780520554618102,0,True,54900,0.018464961998688523,,,,id
ar10,roll_rate,150,15.0,434304,1.0539233484811292,0.7089535383939526,2.8980935747304644,0.8677507420788315,384,0.8545176033125056,0.8786391472434527,0,True,54900,0.018464961998688523,,,,id
ar10,pitch_rate,10,1.0,434304,0.03686332623016522,0.02397709129056932,0.7528444431836472,0.9976023900019416,384,0.997315523427599,0.997862160954745,0,True,54900,0.018464961998688523,,,,id
ar10,pitch_rate,20,2.0,434304,0.17380082258765392,0.11682066324589961,1.3414123591158549,0.9832127697016426,384,0.9814606773359801,0.984844318108677,0,True,54900,0.018464961998688523,,,,id
ar10,pitch_rate,30,3.0,434304,0.28372527110068957,0.19557497444851796,1.664055642972382,0.9709289745789921,384,0.9678322262252838,0.9736126734973628,0,True,54900,0.018464961998688523,,,,id
ar10,pitch_rate,50,5.0,434304,0.4689901095204131,0.29769312966759476,1.549273352583568,0.9083629149717198,384,0.8966620745203565,0.9182026281239295,0,True,54900,0.018464961998688523,,,,id
ar10,pitch_rate,100,10.0,434304,0.8400796447379567,0.5559145412630133,1.2730898977022085,0.5645655560964673,384,0.5489902519391843,0.5789437595825309,0,True,54900,0.018464961998688523,,,,id
ar10,pitch_rate,150,15.0,434304,0.9134537830716548,0.5850436656775352,1.3079980284130317,0.5122930114617751,384,0.49689006730784524,0.5260086683444777,0,True,54900,0.018464961998688523,,,,id
ar10,heave_rate,10,1.0,434304,0.007901265045487568,0.005522148920541593,0.2852226587419099,0.9992325939604145,384,0.9991471271408976,0.9993059124628353,0,True,54900,0.018464961998688523,,,,id
ar10,heave_rate,20,2.0,434304,0.0350906669328125,0.024445588259483623,0.5351982235990471,0.9957011338960773,384,0.9952150250499805,0.9961155806815105,0,True,54900,0.018464961998688523,,,,id
ar10,heave_rate,30,3.0,434304,0.07479988634063454,0.05174456991748781,0.7216245802205107,0.9892556724387489,384,0.9880859541229103,0.9902442100695552,0,True,54900,0.018464961998688523,,,,id
ar10,heave_rate,50,5.0,434304,0.12477620182469899,0.08349132416799084,0.8524864976952896,0.9785765946487438,384,0.9765562614928718,0.9804037474576909,0,True,54900,0.018464961998688523,,,,id
ar10,heave_rate,100,10.0,434304,0.30818231862779516,0.2102103987580772,0.47861232963563727,0.5853824588077032,384,0.56961239009483,0.6016011025489573,0,True,54900,0.018464961998688523,,,,id
ar10,heave_rate,150,15.0,434304,0.4115819565864216,0.27915720472993705,0.6814233587032514,0.6351800149495794,384,0.6119585026897035,0.6565431944662915,0,True,54900,0.018464961998688523,,,,id
ar20,roll,10,1.0,434304,0.007407291537019038,0.005034348942786689,1.9446628367671026,0.9999854912416798,384,0.9999815710480318,0.9999882270546664,0,True,108900,0.05440116099634906,,,,id
ar20,roll,20,2.0,434304,0.057778911415372065,0.04014600719207991,3.7444545258092843,0.9997618987973158,384,0.999702145253707,0.999802704376318,0,True,108900,0.05440116099634906,,,,id
ar20,roll,30,3.0,434304,0.19053478560360976,0.13505666060924787,5.26736094690192,0.9986915341501795,384,0.9983923950103223,0.9988911485726335,0,True,108900,0.05440116099634906,,,,id
ar20,roll,50,5.0,434304,0.6168259034773231,0.43650712951428955,7.0875605548865055,0.9924258894070032,384,0.9909890590813978,0.9933893160392178,0,True,108900,0.05440116099634906,,,,id
ar20,roll,100,10.0,434304,1.0290851586848349,0.7310633910344811,3.793711335438843,0.9264175802617908,384,0.9135720981845766,0.9351693663210222,0,True,108900,0.05440116099634906,,,,id
ar20,roll,150,15.0,434304,1.587596335057688,1.095714028499779,5.251935256462554,0.9086220421539419,384,0.8976445887107848,0.9169949542683008,0,True,108900,0.05440116099634906,,,,id
ar20,pitch,10,1.0,434304,0.008379119653901066,0.0054091542445586435,0.8963189522817477,0.9999126080106762,384,0.9998988049976608,0.9999243996548521,0,True,108900,0.05440116099634906,,,,id
ar20,pitch,20,2.0,434304,0.08190805713656583,0.054553328143286846,1.6396866224861668,0.9975046495779137,384,0.9971633995619581,0.9977998101694243,0,True,108900,0.05440116099634906,,,,id
ar20,pitch,30,3.0,434304,0.267049273336008,0.1827618422032414,2.1223575061775537,0.9841676377593345,384,0.9823242194554686,0.9858134347716689,0,True,108900,0.05440116099634906,,,,id
